review_id,customer_id,submitted_date,flown_date,origin_location_id,destination_location_id,transit_location_id,aircraft_id,airline,verified,seat_type,type_of_traveller,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,average_rating,rating_band,el_updated_at,t_updated_at
110341,14966,7/11/2020,7/1/2020,1630,834,4740,42,American Airlines,TRUE,Premium Economy,Solo Leisure,4,4,Null,Null,4,Null,1,FALSE,3.25,medium,36:29.0,18:17.5
145352,14998,11/16/2023,11/1/2023,1178,1632,1147,42,American Airlines,FALSE,Economy Class,Solo Leisure,1,1,3,Null,1,5,1,FALSE,2,medium,36:29.0,18:17.5
57851,15495,8/22/2016,8/1/2016,3294,4865,2653,26,American Airlines,FALSE,Economy Class,Business,1,2,2,1,1,Null,1,FALSE,1.33,bad,36:29.0,18:17.5
124367,15554,6/20/2022,6/1/2022,1890,2697,4740,42,American Airlines,FALSE,Business Class,Solo Leisure,2,4,3,5,2,4,3,FALSE,3.29,medium,36:29.0,18:17.5
108099,15554,2/27/2020,2/1/2020,2697,4420,834,42,American Airlines,FALSE,Economy Class,Solo Leisure,3,4,4,3,1,2,2,FALSE,2.71,medium,36:29.0,18:17.5
107713,15960,2/17/2020,2/1/2020,4585,1092,1657,42,American Airlines,TRUE,Economy Class,Couple Leisure,3,3,3,2,1,2,1,FALSE,2.14,medium,36:29.0,18:17.5
112183,15980,1/21/2021,11/1/2020,4430,1092,4740,3,American Airlines,FALSE,Economy Class,Business,2,1,Null,Null,3,Null,3,FALSE,2.25,medium,36:29.0,18:17.5
65966,16105,5/4/2017,4/1/2017,2857,3971,4740,19,American Airlines,FALSE,Business Class,Couple Leisure,4,4,2,Null,2,Null,3,FALSE,3,medium,36:29.0,18:17.5
99308,16320,8/7/2019,8/1/2019,3104,3814,4740,42,American Airlines,TRUE,Economy Class,Solo Leisure,1,1,1,Null,1,1,1,FALSE,1,bad,36:29.0,18:17.5
118591,16320,12/25/2021,12/1/2021,3253,1092,4740,42,American Airlines,FALSE,Economy Class,Solo Leisure,4,4,3,1,1,2,1,FALSE,2.29,medium,36:29.0,18:17.5
